得意先名称,ふりがな,呼称,担当者名,役職コード,部署名,郵便番号１,郵便番号２,住所,建物名,電話番号１,電話番号２,電話番号３,締日,納品書発行区分,得意先区分,入金種別,めも
京都中央物産株式会社,きょうとちゅうおうぶっさん,京都中央物産株式会社,,,,,,,,,,,,0,1,1,
株式会社京都吉兆,きょうときっちょう,株式会社京都吉兆,,,,,,,,,,,,0,1,1,
株式会社京樽,きょうたる,株式会社京樽,,,,,,,,,,,,0,1,1,
株式会社京はやしや,きょうはやしや,株式会社京はやしや,,,,,,,,,,,,0,1,1,
株式会社キャピタル,きゃぴたる,株式会社キャピタル,,,,,,,,,,,,0,1,1,
株式会社餃子計画,ぎょうざけいかく,株式会社餃子計画,,,,,,,,,,,,0,1,1,
株式会社銀装,ぎんそう,株式会社銀装,,,,,,,,,,,,0,1,1,
株式会社串乃家,くしのや,株式会社串乃家,,,,,,,,,,,,0,1,1,
百済,くだら,百済,,,,,,,,,,,,0,1,1,
くちば物産株式会社,くちばぶっさん,くちば物産株式会社,,,,,,,,,,,,0,1,1,
株式会社グルメワールド,ぐるめわーるど,株式会社グルメワールド,,,,,,,,,,,,0,1,1,
有限会社くろげ,くろげ,有限会社くろげ,,,,,,,,,,,,0,1,1,
絢爛亭,けんらんてい,絢爛亭,,,,,,,,,,,,0,1,1,
株式会社ケー・エキスプレス,けーえきすぷれす,株式会社ケー・エキスプレス,,,,,,,,,,,,0,1,1,
株式会社京阪百貨店,けいはんひゃっかてん,株式会社京阪百貨店,,,,,,,,,,,,0,1,1,
有限会社コーイチ,こーいち,有限会社コーイチ,,,,,,,,,,,,0,1,1,
株式会社小鯛雀鮨鮨萬,こだいすずめすしまん,株式会社小鯛雀鮨鮨萬,,,,,,,,,,,,0,1,1,
株式会社神戸吉兆,こうべきっちょう,株式会社神戸吉兆,,,,,,,,,,,,0,1,1,
有限会社神戸ふたみ堂,こうべふたみどう,有限会社神戸ふたみ堂,,,,,,,,,,,,0,1,1,
株式会社三久食品,さんきゅうしょくひん,株式会社三久食品,,,,,,,,,,,,0,1,1,
サン食品工業株式会社,さんしょくひんこうぎょう,サン食品工業株式会社,,,,,,,,,,,,0,1,1,
株式会社三田屋本店,か)さんだやほんてん,株式会社三田屋本店,,,,,,,,,,,,0,1,1,
株式会社サザエ食品,さざえしょくひん,株式会社サザエ食品,,,,,,,,,,,,0,1,1,
山和食品株式会社,さんわしょくひん,山和食品株式会社,,,,,,,,,,,,0,1,1,
株式会社サンリバー,さんりばー,株式会社サンリバー,,,,,,,,,,,,0,1,1,
有限会社斉藤音弥商店,さいとうおとやしょうてん,有限会社斉藤音弥商店,,,,,,,,,,,,0,1,1,
白ハト食品工業株式会社,しろはとしょくひんこうぎょう,白ハト食品工業株式会社,,,,,,,,,,,,0,1,1,
株式会社上伊,じょうい,株式会社上伊,,,,,,,,,,,,0,1,1,
シャチフードシステム株式会社,しゃちふーどしすてむ,シャチフードシステム株式会社,,,,,,,,,,,,0,1,1,
株式会社知床鮨,しれとこすし,株式会社知床鮨,,,,,,,,,,,,0,1,1,
株式会社下鴨茶寮,しもがもさりょう,株式会社下鴨茶寮,,,,,,,,,,,,0,1,1,
株式会社下村商店,しもむらしょうてん,株式会社下村商店,,,,,,,,,,,,0,1,1,
株式会社ジェーシー・コムサ,じぇーしーこむさ,株式会社ジェーシー・コムサ,,,,,,,,,,,,0,1,1,
株式会社ジャンボリア,じゃんぼりあ,株式会社ジャンボリア,,,,,,,,,,,,0,1,1,
有限会社ショウタニ,しょうたに,有限会社ショウタニ,,,,,,,,,,,,0,1,1,
ＪＡ全農たまご株式会社,じぇいえーぜんのうたまご,ＪＡ全農たまご株式会社,,,,,,,,,,,,0,1,1,
スエヒロ商事株式会社,すえひろしょうじ,スエヒロ商事株式会社,,,,,,,,,,,,0,1,1,
株式会社すし善,すしぜん,株式会社すし善,,,,,,,,,,,,0,1,1,
杉本食肉産業株式会社,すぎもとしょくにくさんぎょう,杉本食肉産業株式会社,,,,,,,,,,,,0,1,1,
株式会社鈴波,すずなみ,株式会社鈴波,,,,,,,,,,,,0,1,1,
ｽﾀｰﾊﾞｯｸｽｺｰﾋｰｼﾞｬﾊﾟﾝ株式会社,すたーばっくすこーひーじゃぱん,ｽﾀｰﾊﾞｯｸｽｺｰﾋｰｼﾞｬﾊﾟﾝ株式会社,,,,,,,,,,,,0,1,1,
株式会社住吉屋,すみよしや,株式会社住吉屋,,,,,,,,,,,,0,1,1,
株式会社仙太郎,せんたろう,株式会社仙太郎,,,,,,,,,,,,0,1,1,
有限会社瀬間商店,せましょうてん,有限会社瀬間商店,,,,,,,,,,,,0,1,1,
セイウ株式会社,せいう,セイウ株式会社,,,,,,,,,,,,0,1,1,
株式会社千味,せんみ,株式会社千味,,,,,,,,,,,,0,1,1,
株式会社大水直売,だいすいちょくばい,株式会社大水直売,,,,,,,,,,,,0,1,1,
株式会社大安,だいやす,株式会社大安,,,,,,,,,,,,0,1,1,
株式会社ダイニングクリエイツ,だいにんぐくりえいつ,株式会社ダイニングクリエイツ,,,,,,,,,,,,0,1,1,
高山堂,たかやまどう,高山堂,,,,,,,,,,,,0,1,1,
立花エンターテインメント・ワン株式会社,たちばなえんたーてぃめんと・わん,立花エンターテインメント・ワン株式会社,,,,,,,,,,,,0,1,1,
竹中食品株式会社,たけなかしょくひん,竹中食品株式会社,,,,,,,,,,,,0,1,1,
株式会社築地フレッシュ丸都,つきじふれっしゅまると,株式会社築地フレッシュ丸都,,,,,,,,,,,,0,1,1,
寺崎食品産業株式会社,てらさきしょくひんさんぎょう,寺崎食品産業株式会社,,,,,,,,,,,,0,1,1,
株式会社点天,てんてん,株式会社点天,,,,,,,,,,,,0,1,1,
有限会社天むす・すえひろ,てんむすすえひろ,有限会社天むす・すえひろ,,,,,,,,,,,,0,1,1,
株式会社デリッツエジャパン,でりっつえじゃぱん,株式会社デリッツエジャパン,,,,,,,,,,,,0,1,1,
株式会社ディーンアンドデルーカジャパン,でぃーんあんどでるーかじゃぱん,株式会社ディーンアンドデルーカジャパン,,,,,,,,,,,,0,1,1,
株式会社ＴＳＴリティリング,てぃーえすてぃーりてぃりんぐ,株式会社ＴＳＴリティリング,,,,,,,,,,,,0,1,1,
株式会社富惣,とみそう,株式会社富惣,,,,,,,,,,,,0,1,1,
株式会社堂島スウィーツ,どうじますうぃーつ,株式会社堂島スウィーツ,,,,,,,,,,,,0,1,1,
株式会社富保,とみほ,株式会社富保,,,,,,,,,,,,0,1,1,
東洋水産株式会社,とうようすいさん,東洋水産株式会社,,,,,,,,,,,,0,1,1,
株式会社鳴海餅本店,なるみもちほんてん,株式会社鳴海餅本店,,,,,,,,,,,,0,1,1,
中島水産株式会社,なかじますいさん,中島水産株式会社,,,,,,,,,,,,0,1,1,
株式会社中沢商店,なかざわしょうてん,株式会社中沢商店,,,,,,,,,,,,0,1,1,
株式会社錦平野,にしきひらの,株式会社錦平野,,,,,,,,,,,,0,1,1,
ニ傳株式会社,にでん,ニ傳株式会社,,,,,,,,,,,,0,1,1,
西友商店株式会社,にしともしょうてん,西友商店株式会社,,,,,,,,,,,,0,1,1,
日本ハム株式会社,にほんはむ,日本ハム株式会社,,,,,,,,,,,,0,1,1,
有限会社日本クリーンシステムズ,にほんくりーんしすてむず,有限会社日本クリーンシステムズ,,,,,,,,,,,,0,1,1,
株式会社日食,にっしょく,株式会社日食,,,,,,,,,,,,0,1,1,
日本橋玉ゐ,にほんばしたまい,日本橋玉ゐ,,,,,,,,,,,,0,1,1,
株式会社西利,にしり,株式会社西利,,,,,,,,,,,,0,1,1,
株式会社ノア企画,のあきかく,株式会社ノア企画,,,,,,,,,,,,0,1,1,
株式会社播重,はりじゅう,株式会社播重,,,,,,,,,,,,0,1,1,
株式会社ピー・パートナーズ,ぴーぱーとなーず,株式会社ピー・パートナーズ,,,,,,,,,,,,0,1,1,
有限会社瓢樹,ひょうき,有限会社瓢樹,,,,,,,,,,,,0,1,1,
株式会社平島食品,ひらしましょくひん,株式会社平島食品,,,,,,,,,,,,0,1,1,
樋口有限会社,ひぐち,樋口有限会社,,,,,,,,,,,,0,1,1,
株式会社日高食品,ひだかしょくひん,株式会社日高食品,,,,,,,,,,,,0,1,1,
株式会社ピックルスコーポレーション関西,ぴっくるすこーぽれーしょんかんさい,株式会社ピックルスコーポレーション関西,,,,,,,,,,,,0,1,1,
株式会社ヒロコーヒー,ひろこーひー,株式会社ヒロコーヒー,,,,,,,,,,,,0,1,1,
有限会社飛天,ひてん,有限会社飛天,,,,,,,,,,,,0,1,1,
有限会社フェスティバロ社,ふぇすてぃばろしゃ,有限会社フェスティバロ社,,,,,,,,,,,,0,1,1,
フラッグス株式会社,ふらっぐす,フラッグス株式会社,,,,,,,,,,,,0,1,1,
株式会社冨美家,ふみや,株式会社冨美家,,,,,,,,,,,,0,1,1,
不二食品株式会社,ふじしょくひん,不二食品株式会社,,,,,,,,,,,,0,1,1,
プリマハム近畿販売株式会社,ぷりまはむきんきはんばい,プリマハム近畿販売株式会社,,,,,,,,,,,,0,1,1,
藤本食品株式会社,ふじもとしょくひん,藤本食品株式会社,,,,,,,,,,,,0,1,1,
株式会社福寿園,ふくじゅえん,株式会社福寿園,,,,,,,,,,,,0,1,1,
株式会社ベノア,べのあ,株式会社ベノア,,,,,,,,,,,,0,1,1,
株式会社ホテルオークラ神戸,ほてるおーくらこうべ,株式会社ホテルオークラ神戸,,,,,,,,,,,,0,1,1,
有限会社ボック,ぼっく,有限会社ボック,,,,,,,,,,,,0,1,1,
ホテルアナガ,ほてるあなが,ホテルアナガ,,,,,,,,,,,,0,1,1,
北極星産業株式会社,ほっきょくせいさんぎょう,北極星産業株式会社,,,,,,,,,,,,0,1,1,
株式会社ホテルマネージメントシステム,ほてるまねーじめんとしすてむ,株式会社ホテルマネージメントシステム,,,,,,,,,,,,0,1,1,
株式会社ポトマック,ぽとまっく,株式会社ポトマック,,,,,,,,,,,,0,1,1,
株式会社ホテルオークラ札幌,ほてるおーくらさっぽろ,株式会社ホテルオークラ札幌,,,,,,,,,,,,0,1,1,
株式会社香港聘珍樓ジャパン,ほんこんへいちんろうじゃぱん,株式会社香港聘珍樓ジャパン,,,,,,,,,,,,0,1,1,
マキシム・ド・パリ株式会社,まきしむどぱり,マキシム・ド・パリ株式会社,,,,,,,,,,,,0,1,1,
株式会社正起屋,まさきや,株式会社正起屋,,,,,,,,,,,,0,1,1,
有限会社松新鮨,まつしんすし,有限会社松新鮨,,,,,,,,,,,,0,1,1,
株式会社桝俉,ますご,株式会社桝俉,,,,,,,,,,,,0,1,1,
有限会社豆藤,まめとう,有限会社豆藤,,,,,,,,,,,,0,1,1,
有限会社丸常蒲鉾店,まるつねかまぼこてん,有限会社丸常蒲鉾店,,,,,,,,,,,,0,1,1,
株式会社まつおか,まつおか,株式会社まつおか,,,,,,,,,,,,0,1,1,
株式会社萬野総本店,まんのそうほんてん,株式会社萬野総本店,,,,,,,,,,,,0,1,1,
有限会社三好商店,みよししょうてん,有限会社三好商店,,,,,,,,,,,,0,1,1,
株式会社水野商店,みずのしょうてん,株式会社水野商店,,,,,,,,,,,,0,1,1,
株式会社三嶋亭,みしまてい,株式会社三嶋亭,,,,,,,,,,,,0,1,1,
三河屋,みかわや,三河屋,,,,,,,,,,,,0,1,1,
ミヤコビジネス株式会社,みやこびじねす,ミヤコビジネス株式会社,,,,,,,,,,,,0,1,1,
株式会社みやざき,みやざき,株式会社みやざき,,,,,,,,,,,,0,1,1,
株式会社三河一色,みかわいっしき,株式会社三河一色,,,,,,,,,,,,0,1,1,
味楽亭たけ橋,みらくていたけはし,味楽亭たけ橋,,,,,,,,,,,,0,1,1,
三八五流通株式会社,みやこりゅうつう,三八五流通株式会社,,,,,,,,,,,,0,1,1,
株式会社向井商店,むかいしょうてん,株式会社向井商店,,,,,,,,,,,,0,1,1,
株式会社めん楽,めんらく,株式会社めん楽,,,,,,,,,,,,0,1,1,
株式会社メルヘン,めるへん,株式会社メルヘン,,,,,,,,,,,,0,1,1,
株式会社門,もん,株式会社門,,,,,,,,,,,,0,1,1,
株式会社元町ケーキ,もとまちけーき,株式会社元町ケーキ,,,,,,,,,,,,0,1,1,
株式会社ヤマニ,やまに,株式会社ヤマニ,,,,,,,,,,,,0,1,1,
株式会社安さん,やすさん,株式会社安さん,,,,,,,,,,,,0,1,1,
有限会社山本商店,やまもとしょうてん,有限会社山本商店,,,,,,,,,,,,0,1,1,
株式会社八百彦本店,やおひこほんてん,株式会社八百彦本店,,,,,,,,,,,,0,1,1,
八重洲大地下街商店会,やえすおおちかがいしょうてんかい,八重洲大地下街商店会,,,,,,,,,,,,0,1,1,
株式会社山銀,やまぎん,株式会社山銀,,,,,,,,,,,,0,1,1,
UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,ゆーしーしーふーどさーびすしすてむず,UCCﾌｰﾄﾞｻｰﾋﾞｽｼｽﾃﾑｽﾞ株式会社,,,,,,,,,,,,0,1,1,
株式会社湯葉弥,ゆばや,株式会社湯葉弥,,,,,,,,,,,,0,1,1,
有限会社有里,ゆり,有限会社有里,,,,,,,,,,,,0,1,1,
ユーアールエー株式会社,ゆーあーるえー,ユーアールエー株式会社,,,,,,,,,,,,0,1,1,
株式会社ユーハイム,ゆーはいむ,株式会社ユーハイム,,,,,,,,,,,,0,1,1,
株式会社有職,ゆうしょく,株式会社有職,,,,,,,,,,,,0,1,1,
ユニオネックス株式会社,ゆにおねっくす,ユニオネックス株式会社,,,,,,,,,,,,0,1,1,
株式会社米八西日本,よねはちにしにほん,株式会社米八西日本,,,,,,,,,,,,0,1,1,
株式会社米八東日本,よねはちひがしにほん,株式会社米八東日本,,,,,,,,,,,,0,1,1,
株式会社ヨース食品,よーすしょくひん,株式会社ヨース食品,,,,,,,,,,,,0,1,1,
株式会社蘭館,らんかん,株式会社蘭館,,,,,,,,,,,,0,1,1,
ラケーリジャパン株式会社,らけーりじゃぱん,ラケーリジャパン株式会社,,,,,,,,,,,,0,1,1,
株式会社リーガロイヤルホテル京都,りーがろいやるほてるきょうと,株式会社リーガロイヤルホテル京都,,,,,,,,,,,,0,1,1,
株式会社レストランダイワ,れすとらんだいわ,株式会社レストランダイワ,,,,,,,,,,,,0,1,1,
株式会社ﾚｱｰﾙﾊﾟｽｺﾍﾞｰｶﾘｰｽﾞ,れあーるぱすこべーかりーズ,株式会社ﾚｱｰﾙﾊﾟｽｺﾍﾞｰｶﾘｰｽﾞ,,,,,,,,,,,,0,1,1,
有限会社ローパア,ろーぱあ,有限会社ローパア,,,,,,,,,,,,0,1,1,
株式会社ロックフィールド,ろっくふぃーるど,株式会社ロックフィールド,,,,,,,,,,,,0,1,1,
株式会社ロイヤルオークリゾート,ろいやるおーくりぞーと,株式会社ロイヤルオークリゾート,,,,,,,,,,,,0,1,1,
ローマイヤ販売株式会社,ろーまいやはんばい,ローマイヤ販売株式会社,,,,,,,,,,,,0,1,1,
六石会,ろっこくかい,六石会,,,,,,,,,,,,0,1,1,
株式会社六味,ろくみ,株式会社六味,,,,,,,,,,,,0,1,1,
和田八蒲鉾製造株式会社,わだはちかまぼこ,和田八蒲鉾製造株式会社,,,,,,,,,,,,0,1,1,
わらびの里株式会社,わらびのさと,わらびの里株式会社,,,,,,,,,,,,0,1,1,
和光食品株式会社,わこうしょくひん,和光食品株式会社,,,,,,,,,,,,0,1,1,
株式会社渡辺ハゲ天,わたなべはげてん,株式会社渡辺ハゲ天,,,,,,,,,,,,0,1,1,
株式会社じゃがいもはうす,じゃがいもはうす,株式会社じゃがいもはうす,,,,,,,,,,,,0,1,1,
一般社団法人足と靴と健康協議会,あしとくつとけんこうきょうぎかい,一般社団法人足と靴と健康協議会,,,,,,,,,,,,0,1,1,
アサヒロジ株式会社,あさひろじ,アサヒロジ株式会社,,,,,,,,,,,,0,1,1,
株式会社アルページュ,あるぺーじゅ,株式会社アルページュ,,,,,,,,,,,,0,1,1,
株式会社アースクリエイト,あーすくりえいと,株式会社アースクリエイト,,,,,,,,,,,,0,1,1,
atelierＡＣＢ,あとりえあしべ,atelierＡＣＢ,,,,,,,,,,,,0,1,1,
有限会社イズミ産業,いずみさんぎょう,有限会社イズミ産業,,,,,,,,,,,,0,1,1,
株式会社エムワイ・アールデザイン企画,えむわいあーるでざいんきかく,株式会社エムワイ・アールデザイン企画,,,,,,,,,,,,0,1,1,
東和織物株式会社,とうわおりもの,東和織物株式会社,,,,,,,,,,,,0,1,1,
株式会社トップラン,とっぷらん,株式会社トップラン,,,,,,,,,,,,0,1,1,
株式会社フェニックスインターナショナル,ふぇにっくすいんたーなしょなる,株式会社フェニックスインターナショナル,,,,,,,,,,,,0,1,1,
株式会社フェリシモ,ふぇりしも,株式会社フェリシモ,,,,,,,,,,,,0,1,1,
プロッズ株式会社,ぷろっず,プロッズ株式会社,,,,,,,,,,,,0,1,1,
愛知畜産加工協同組合,あいちちくさんかこうきょうどうくみあい,愛知畜産加工協同組合,,,,,,,,,,,,0,1,1,
株式会社東鮓本店,あずますしほんてん,株式会社東鮓本店,,,,,,,,,,,,0,1,1,
株式会社アビー,あびー,株式会社アビー,,,,,,,,,,,,0,1,1,
あしきた農業協同組合,あしきたのうぎょうきょうどうくみあい,あしきた農業協同組合,,,,,,,,,,,,0,1,1,
株式会社亀の井亀井堂本家,かめのいかめいどうほんけ,株式会社亀の井亀井堂本家,,,,,,,,,,,,0,1,1,
株式会社柏木食品衛生事務所,かしわぎしょくひんえいせいじむしょ,株式会社柏木食品衛生事務所,,,,,,,,,,,,0,1,1,
株式会社韓亜,はんあ,株式会社韓亜,,,,,,,,,,,,0,1,1,
カネ美食品株式会社,かねみしょくひん,カネ美食品株式会社,,,,,,,,,,,,0,1,1,
株式会社甘音屋,かんおんや,株式会社甘音屋,,,,,,,,,,,,0,1,1,
キョーワズ珈琲株式会社,きょーわずこーひー,キョーワズ珈琲株式会社,,,,,,,,,,,,0,1,1,
株式会社菊太屋（トウイ米穀店）,きくたや,株式会社菊太屋（トウイ米穀店）,,,,,,,,,,,,0,1,1,
株式会社魚宗フーズ,うおそうふーず,株式会社魚宗フーズ,,,,,,,,,,,,0,1,1,
株式会社喜八洲総本舗,きやすそうほんぽ,株式会社喜八洲総本舗,,,,,,,,,,,,0,1,1,
京寿楽庵株式会社,きょうじゅらくあん,京寿楽庵株式会社,,,,,,,,,,,,0,1,1,
株式会社三央,さんおう,株式会社三央,,,,,,,,,,,,0,1,1,
酒井食品株式会社,さかいしょくひん,酒井食品株式会社,,,,,,,,,,,,0,1,1,
株式会社重光,しげみつ,株式会社重光,,,,,,,,,,,,0,1,1,
株式会社シンケールス,しんけーるす,株式会社シンケールス,,,,,,,,,,,,0,1,1,
株式会社Ｃ`Ｓｅｌｅｃｔ,せれくと,株式会社Ｃ`Ｓｅｌｅｃｔ,,,,,,,,,,,,0,1,1,
株式会社シェ・ケン,しぇけん,株式会社シェ・ケン,,,,,,,,,,,,0,1,1,
ジョイフル文蛾,じょいふるぶんが,ジョイフル文蛾,,,,,,,,,,,,0,1,1,
株式会社四季菜,しきさい,株式会社四季菜,,,,,,,,,,,,0,1,1,
株式会社芝寿し,しばずし,株式会社芝寿し,,,,,,,,,,,,0,1,1,
タカナシ販売株式会社,たかなしはんばい,タカナシ販売株式会社,,,,,,,,,,,,0,1,1,
株式会社大和,だいわ,株式会社大和,,,,,,,,,,,,0,1,1,
株式会社大和富山店,だいわとやま,株式会社大和富山店,,,,,,,,,,,,0,1,1,
株式会社大和高岡店,だいわたかおか,株式会社大和高岡店,,,,,,,,,,,,0,1,1,
株式会社たわわ,たわわ,株式会社たわわ,,,,,,,,,,,,0,1,1,
株式会社東友精米,ひがしともせいまい,株式会社東友精米,,,,,,,,,,,,0,1,1,
株式会社東急ハンズ,とうきゅうはんず,株式会社東急ハンズ,,,,,,,,,,,,0,1,1,
有限会社鳥伸,とりしん,有限会社鳥伸,,,,,,,,,,,,0,1,1,
トミーズピッツァ,とみーずぴっつぁ,トミーズピッツァ,,,,,,,,,,,,0,1,1,
有限会社トレサード,とれさーど,有限会社トレサード,,,,,,,,,,,,0,1,1,
株式会社新潟海宝丸,にいがたかいほうまる,株式会社新潟海宝丸,,,,,,,,,,,,0,1,1,
株式会社ハートサプライ,はーとさぷらい,株式会社ハートサプライ,,,,,,,,,,,,0,1,1,
株式会社ハーブスグローイング,はーぶすぐろーいんぐ,株式会社ハーブスグローイング,,,,,,,,,,,,0,1,1,
株式会社パティスリーモンプリュ,ぱてぃすりーもんぷりゅ,株式会社パティスリーモンプリュ,,,,,,,,,,,,0,1,1,
株式会社阪急デリカ,はんきゅうでりか,株式会社阪急デリカ,,,,,,,,,,,,0,1,1,
株式会社パソナグループスコーラ,ぱそなぐるーぷすこーら,株式会社パソナグループスコーラ,,,,,,,,,,,,0,1,1,
有限会社華和,はなわ,有限会社華和,,,,,,,,,,,,0,1,1,
有限会社フランスパン,ふらんすぱん,有限会社フランスパン,,,,,,,,,,,,0,1,1,
株式会社不二家,ふじや,株式会社不二家,,,,,,,,,,,,0,1,1,
株式会社芙蓉,ふよう,株式会社芙蓉,,,,,,,,,,,,0,1,1,
有限会社藤辰,ふじたつ,有限会社藤辰,,,,,,,,,,,,0,1,1,
株式会社フルーツ・ジャパン,ふるーつじゃぱん,株式会社フルーツ・ジャパン,,,,,,,,,,,,0,1,1,
株式会社鮒忠,ふなちゅう,株式会社鮒忠,,,,,,,,,,,,0,1,1,
株式会社萬坊,よろずぼう,株式会社萬坊,,,,,,,,,,,,0,1,1,
株式会社マーク,まーく,株式会社マーク,,,,,,,,,,,,0,1,1,
